Address,Latitude,Longitude
Address,52.514001369455,13.431555363459
Achenbachstr. 8,52.541968688621,13.203020996043
Ackerstr. 124/126,52.537140167568,13.38636699756
Ackerstr. 163,52.530352502377,13.396844795624
Ackerstr. 32,52.533336543726,13.394706991219
Ackerstr. 39,52.535116440866,13.391189525552
Ackerstr. 5/7,52.530211351127,13.397308147232
Ackerstr. 54/55,52.536707794534,13.38785734653
Ackerstr. 68a,52.537854766724,13.385923930158
Ackerstr. 91,52.540099618905,13.381088134456
Adalbertstr.  52,52.507415376696,13.423570130102
Adalbertstr. 16,52.501820042963,13.419885725444
Adalbertstr. 4,52.49993403093,13.419262950038
Adalbertstr. 41,52.507934096506,13.424240878515
Adalbertstr. 63,52.506166730312,13.422468608908
Adalbertstr. 64,52.506056005371,13.422383784047
Adalbertstr. 65,52.505953746152,13.422311029128
Adalbertstr. 7,52.500458779978,13.418920297836
Adlergestell 265,52.434294277078,13.543014346899
"Adlerstr. 7,  Erkener",52.398797945305,13.577000728611
Admiralstr.  38,52.498293105745,13.41739118724
Admiralstr. 10,52.497070002404,13.41623198448
Admiralstr. 15,52.496340289943,13.415611290101
Admiralstr. 18e,52.495941939995,13.415329741973
Admiralstr. 31/32,52.497024588944,13.416404795244
Admiralstr. 4,52.497856534318,13.416323248957
Admiralstr. 8,52.497411892511,13.416447916238
Adolfstr. 12,52.508303612707,13.58559880107
Agricolastr. 21,52.519636155348,13.335225402068
Agricolastr. 21,52.519636155348,13.335225402068
Ahlbecker Str.  14,52.544619633138,13.424382784136
Ahornallee 13,52.514146050678,13.275778681634
Ahornstr. 22,52.461035755678,13.321092507486
Akazienstr . 29,52.486548927839,13.355221186464
Akazienstr.  20,52.488239641529,13.353798609857
Akazienstr.  7,52.487339550856,13.355033431833
Akazienstr. 20,52.488239641529,13.353798609857
Akazienstr. 28,52.486692467931,13.35508824948
Akazienstr. 28,52.486692467931,13.35508824948
Akazienstr. 29,52.486548927839,13.355221186464
Albert-Archilles-Str. 58,52.496837211073,13.303769963469
Albertstr. 15,52.483721460441,13.353537429754
Albertstr. 6,52.483182629795,13.354841653889
Albertstr. 9,52.483242518494,13.354254250114
Albrecht-Archilles-Str. 58,52.496837211073,13.303769963469
Albrechtstr.  38,52.451669817069,13.334149081881
Albrechtstr.  38,52.451669817069,13.334149081881
Albrechtstr. 10,52.521762602274,13.384464808453
Albrechtstr. 107,52.4540495232,13.329383802288
Albrechtstr. 125,52.455954771701,13.324666718638
Albrechtstr. 130,52.456763187377,13.321622929078
Albrechtstr. 14,52.521489561778,13.385196800057
Albrechtstr. 1a,52.456588653129,13.320967030395
Albrechtstr. 2,52.456423320089,13.321245896314
Albrechtstr. 25,52.52370812582,13.383620666984
Albrechtstr. 49,52.448282815725,13.338826854405
Albrechtstr. 53b,52.447419521607,13.341058452307
Albrechtstr. 6,52.522648359892,13.384009838749
Alexanderplatz 1,52.521270123553,13.412682988407
Alexanderstr.  26,52.522989911923,13.413638716382
Alexanderstr.  43,52.517509958476,13.418333572128
Alexanderstr.  52,52.522989911923,13.413638716382
Alexanderstr. 1,52.52407609137,13.413714549231
Alexanderstr. 1,52.52407609137,13.413714549231
Alexanderstr. 10,52.522989911923,13.413638716382
Alexanderstr. 12,52.522989911923,13.413638716382
Alexanderstr. 12,52.522989911923,13.413638716382
Alexanderstr. 12,52.522989911923,13.413638716382
Alexanderstr. 14c,52.522989911923,13.413638716382
Alexanderstr. 2,52.523285301421,13.412989838084
Alexanderstr. 27,52.518858021367,13.418139355918
Alexanderstr. 27,52.518858021367,13.418139355918
Alexanderstr. 27,52.518858021367,13.418139355918
Alexanderstr. 27a,52.518858021367,13.418139355918
Alexanderstr. 27a,52.518858021367,13.418139355918
Alexanderstr. 30,52.522989911923,13.413638716382
Alexanderstr. 33,52.517892007026,13.418805801039
Alexanderstr. 34,52.522989911923,13.413638716382
Alexanderstr. 35,52.517816192712,13.419045104375
Alexanderstr. 35,52.517816192712,13.419045104375
Alexanderstr. 35,52.517816192712,13.419045104375
Alexanderstr. 35,52.517816192712,13.419045104375
Alexanderstr. 36a,52.517532297651,13.417770216902
Alexanderstr. 37a,52.522612452085,13.415762248334
Alexanderstr. 38a,52.522989911923,13.413638716382
Alexanderstr. 39/40 (Passage),52.517509958476,13.418333572128
Alexanderstr. 39/40,52.517509958476,13.418333572128
Alexanderstr. 39/40,52.517509958476,13.418333572128
Alexanderstr. 39/40,52.517509958476,13.418333572128
Alexanderstr. 42,52.522989911923,13.413638716382
Alexanderstr. 42,52.522989911923,13.413638716382
Alexanderstr. 44,52.522989911923,13.413638716382
Alexanderstr. 45,52.517509958476,13.418333572128
Alexanderstr. 46 II,52.522989911923,13.413638716382
Alexanderstr. 46/48,52.522989911923,13.413638716382
Alexanderstr. 47,52.517509958476,13.418333572128
Alexanderstr. 48,52.522989911923,13.413638716382
Alexanderstr. 50,52.522989911923,13.413638716382
Alexanderstr. 51,52.517509958476,13.418333572128
Alexanderstr. 51/52,52.517509958476,13.418333572128
Alexanderstr. 51/52,52.517509958476,13.418333572128
Alexanderstr. 52,52.522989911923,13.413638716382
Alexanderstr. 53,52.517509958476,13.418333572128
Alexanderstr. 53,52.517509958476,13.418333572128
Alexanderstr. 53,52.517509958476,13.418333572128
Alexanderstr. 53,52.517509958476,13.418333572128
Alexanderstr. 55,52.517509958476,13.418333572128
Alexanderstr. 55,52.517509958476,13.418333572128
Alexanderstr. 55,52.517509958476,13.418333572128
Alexanderstr. 71,52.517509958476,13.418333572128
